pair,left_algorithm,right_algorithm,scan_id,diameter_um,flow_mm_s,metric,n_left_native,n_right_native,n_common,n_left_only,n_right_only,left_native_median,right_native_median,left_common_median,right_common_median,frame_support_sha256
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F01_V01,128,1,raw_AUC_200,500,500,500,0,0,5640480142.562142,725122.4918386986,5640480142.562142,725122.4918386986,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F01_V01,128,1,vessel_core_P95,500,500,500,0,0,409191010.795506,17396.65839800629,409191010.795506,17396.65839800629,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F01_V01,128,1,normalized_AUC_um,500,500,500,0,0,13.66006860733971,42.21733660887141,13.66006860733971,42.21733660887141,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F03_V01,128,3,raw_AUC_200,492,500,492,0,8,5525370473.390732,739838.3034210675,5525370473.390732,740588.3940568436,bf94f7e484d940a7e472b22ed8260e2d303e886f890640db93fa253a5eb052e4
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F03_V01,128,3,vessel_core_P95,492,500,492,0,8,444968364.5830229,17406.089694388593,444968364.5830229,17427.341716735693,bf94f7e484d940a7e472b22ed8260e2d303e886f890640db93fa253a5eb052e4
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F03_V01,128,3,normalized_AUC_um,492,500,492,0,8,12.082938662230141,41.63258384011205,12.082938662230141,41.59476320894686,bf94f7e484d940a7e472b22ed8260e2d303e886f890640db93fa253a5eb052e4
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F05_V01,128,5,raw_AUC_200,500,500,500,0,0,5378304327.378297,712836.826376664,5378304327.378297,712836.826376664,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F05_V01,128,5,vessel_core_P95,500,500,500,0,0,451868207.5699575,17778.85675394835,451868207.5699575,17778.85675394835,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F05_V01,128,5,normalized_AUC_um,500,500,500,0,0,12.234184249319426,40.27492472646715,12.234184249319426,40.27492472646715,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F07_V01,128,7,raw_AUC_200,495,500,495,0,5,6080152885.590909,759880.8689109096,6080152885.590909,760082.2208783985,068a91939ea8bf3daff0f39eaaed6fb88b7a6f01fb2c00354fc3aee907e7f9cd
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F07_V01,128,7,vessel_core_P95,494,500,494,0,6,259468653.51495877,13488.694776241136,259468653.51495877,13485.320721544156,7c37a15279357350fbdc9bb23b36b0932e84a9d70814dd95377548a72bffbdf8
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F07_V01,128,7,normalized_AUC_um,494,500,494,0,6,23.807715115622432,55.44125355945329,23.807715115622432,55.44125355945329,7c37a15279357350fbdc9bb23b36b0932e84a9d70814dd95377548a72bffbdf8
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F10_V01,128,10,raw_AUC_200,500,500,500,0,0,5723795197.017642,759220.7089170888,5723795197.017642,759220.7089170888,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F10_V01,128,10,vessel_core_P95,500,500,500,0,0,450901830.93028146,17961.4634796769,450901830.93028146,17961.4634796769,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
SV-B_vs_OMAG-B,SV-B,OMAG-B,D128_F10_V01,128,10,normalized_AUC_um,500,500,500,0,0,12.749459080251354,42.61594691547,12.749459080251354,42.61594691547,0c107320ad64414bb5cfb06c86c5f3ca9fd7cacd1fae82b9101d9623a80d992b
