scan_id,frame_index_0based,bscan_index_matlab_1based,source_file,raw_oct_file,flow_dicom_file,tracking_file,diameter_um,flow_speed_mm_s,dx_um,dz_um,vessel_id,phantom_id,session_id,independent_acquisition_id,temporal_repeat_id,temporal_repeat_count,scan_time_interval_s,acquisition_order,slow_axis_position_um,slow_axis_spacing_um,reconstruction_version,position_label,manual_adjustment_source,manual_adjustment_count
flow01,0,1,arrays/flow01/frame_000.npz,1.oct,1.oct-Flow_ed.dcm,tracking/flow01/flow01_mentor_tracking.csv,128,1,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,front,,0
flow01,249,250,arrays/flow01/frame_249.npz,1.oct,1.oct-Flow_ed.dcm,tracking/flow01/flow01_mentor_tracking.csv,128,1,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,middle,,0
flow01,499,500,arrays/flow01/frame_499.npz,1.oct,1.oct-Flow_ed.dcm,tracking/flow01/flow01_mentor_tracking.csv,128,1,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,rear,,0
flow03,0,1,arrays/flow03/frame_000.npz,3.oct,3.oct-Flow_ed.dcm,tracking/flow03/flow03_mentor_tracking.csv,128,3,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,front,,0
flow03,249,250,arrays/flow03/frame_249.npz,3.oct,3.oct-Flow_ed.dcm,tracking/flow03/flow03_mentor_tracking.csv,128,3,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,middle,,0
flow03,499,500,arrays/flow03/frame_499.npz,3.oct,3.oct-Flow_ed.dcm,tracking/flow03/flow03_mentor_tracking.csv,128,3,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,rear,,0
flow05,0,1,arrays/flow05/frame_000.npz,5.oct,5.oct-Flow_ed.dcm,tracking/flow05/flow05_mentor_tracking.csv,128,5,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,front,,0
flow05,249,250,arrays/flow05/frame_249.npz,5.oct,5.oct-Flow_ed.dcm,tracking/flow05/flow05_mentor_tracking.csv,128,5,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,middle,,0
flow05,499,500,arrays/flow05/frame_499.npz,5.oct,5.oct-Flow_ed.dcm,tracking/flow05/flow05_mentor_tracking.csv,128,5,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,rear,,0
flow07,0,1,arrays/flow07/frame_000.npz,7.oct,7.oct-Flow_ed.dcm,tracking/flow07/flow07_mentor_tracking.csv,128,7,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,front,,0
flow07,249,250,arrays/flow07/frame_249.npz,7.oct,7.oct-Flow_ed.dcm,tracking/flow07/flow07_mentor_tracking.csv,128,7,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,middle,,0
flow07,499,500,arrays/flow07/frame_499.npz,7.oct,7.oct-Flow_ed.dcm,tracking/flow07/flow07_mentor_tracking.csv,128,7,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,rear,,0
flow10,0,1,arrays/flow10/frame_000.npz,10.oct,10.oct-Flow_ed.dcm,tracking/flow10/flow10_mentor_tracking.csv,128,10,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,front,,0
flow10,249,250,arrays/flow10/frame_249.npz,10.oct,10.oct-Flow_ed.dcm,tracking/flow10/flow10_mentor_tracking.csv,128,10,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,middle,,0
flow10,499,500,arrays/flow10/frame_499.npz,10.oct,10.oct-Flow_ed.dcm,tracking/flow10/flow10_mentor_tracking.csv,128,10,12.7,6.7,,,,,,3,,,,,ee3012c04be0d02289520a34409d0855a3e5ca58,rear,,0
