scan_id,diameter_um,flow_mm_s,n_nominal,n_geometry_valid,n_metric_assessable,n_primary_eligible,n_auc_defined,n_denominator_defined,n_normalized_defined,n_denominator_pooled,n_auc_defined_all_positions,n_denominator_defined_all_positions,n_normalized_defined_all_positions,n_full_assessable,n_pooled_raw_AUC_200,n_pooled_vessel_core_P95,n_pooled_normalized_AUC_um
D128_F01_V01,128,1,500,486,500,500,500,500,500,500,500,500,500,500,500,500,500
D128_F03_V01,128,3,500,468,500,492,492,492,492,492,500,500,500,492,492,492,492
D128_F05_V01,128,5,500,491,500,500,500,500,500,500,500,500,500,500,500,500,500
D128_F07_V01,128,7,500,493,500,495,495,494,494,494,500,499,499,495,495,494,494
D128_F10_V01,128,10,500,484,500,500,500,500,500,500,500,500,500,500,500,500,500
D235_F01_V01,235,1,500,448,500,500,500,500,500,500,500,500,500,500,500,500,500
D235_F03_V01,235,3,500,448,500,500,500,500,500,500,500,500,500,500,500,500,500
D235_F05_V01,235,5,500,424,500,500,500,500,500,500,500,500,500,500,500,500,500
D235_F07_V01,235,7,500,444,500,500,500,500,500,500,500,500,500,500,500,500,500
D235_F10_V01,235,10,500,461,500,500,500,500,500,500,500,500,500,500,500,500,500
D285_F01_V01,285,1,500,453,500,500,500,500,500,500,500,500,500,500,500,500,500
D285_F03_V01,285,3,500,474,500,500,500,500,500,500,500,500,500,500,500,500,500
D285_F05_V01,285,5,500,492,500,500,500,500,500,500,500,500,500,500,500,500,500
D285_F07_V01,285,7,500,458,500,500,500,500,500,500,500,500,500,500,500,500,500
D285_F10_V01,285,10,500,494,500,500,500,500,500,500,500,500,500,500,500,500,500
